Player,Pos,Tm,Age,PTS
Malcolm Brogdon,PG,BOS,30,14
Jaylen Brown,SF,BOS,26,26.1
Clint Capela,C,ATL,28,11
John Collins,PF,ATL,25,12.6
Jarrett Culver,SG,ATL,23,0.5
JD Davison,PG,BOS,20,0.7
Trent Forrest,PG,ATL,24,0.9
AJ Griffin,SF,ATL,19,8.4
Blake Griffin,PF,BOS,33,4.1
Sam Hauser,PF,BOS,25,7.9
Aaron Holiday,PG,ATL,26,4.5
Justin Holiday,SG,ATL,33,5.7
Al Horford,C,BOS,36,11.2
De'Andre Hunter,SF,ATL,25,15.6
Justin Jackson,SF,BOS,27,0.8
Jalen Johnson,SF,ATL,21,4.4
Mfiondu Kabengele,PF,BOS,25,2
Frank Kaminsky,C,ATL,29,2.3
Luke Kornet,C,BOS,27,4.8
Vit Krejci,PG,ATL,22,1.4
Tyrese Martin,SG,ATL,23,1
Dejounte Murray,SG,ATL,26,20.6
Onyeka Okongwu,C,ATL,22,7.3
Payton Pritchard,PG,BOS,25,5.3
Marcus Smart,PG,BOS,28,11.6
Jayson Tatum,PF,BOS,24,30.8
Noah Vonleh,C,BOS,27,1.7
Derrick White,SG,BOS,28,10.9
Grant Williams,PF,BOS,24,9.1
Trae Young,PG,ATL,24,27.7
